date,station,pm25,pm10,no2,o3,aqi,so2,co
2024-01-01,Bandra,48.4,84.3,38.4,44.7,76.7,,
2024-01-01,Colaba,69.9,98.6,30.2,58.3,87.4,,
2024-01-01,Kurla,91.6,131.4,32.0,34.5,91.6,,
2024-01-01,Powai,66.5,91.2,31.7,23.7,66.5,,
2024-01-02,Bandra,43.4,74.3,16.4,4.9,43.4,,
2024-01-02,Colaba,71.7,123.6,17.1,33.2,71.7,,
2024-01-02,Kurla,54.2,76.4,38.9,29.7,77.8,,
2024-01-02,Powai,51.7,85.1,27.8,29.2,55.6,,
2024-01-03,Bandra,68.2,95.8,30.4,62.8,94.2,,
2024-01-03,Colaba,44.1,73.0,29.0,50.4,75.6,,
2024-01-03,Kurla,58.1,83.9,17.4,47.3,70.9,,
2024-01-03,Powai,67.7,106.1,19.6,5.0,67.7,,
2024-01-04,Bandra,58.0,88.2,30.7,42.8,64.2,,
2024-01-04,Colaba,73.8,99.8,26.8,40.2,73.8,,
2024-01-04,Kurla,85.5,118.9,15.3,27.1,85.5,,
2024-01-04,Powai,30.1,72.9,19.7,48.7,73.0,,
2024-01-05,Bandra,82.5,112.0,10.8,55.1,82.7,,
2024-01-05,Colaba,44.9,60.7,19.8,27.0,44.9,,
2024-01-05,Kurla,99.8,121.5,20.6,38.2,99.8,,
2024-01-05,Powai,33.2,67.5,19.5,51.6,77.4,,
2024-01-06,Bandra,61.8,93.7,20.1,36.2,61.8,,
2024-01-06,Colaba,24.4,69.4,30.2,39.3,60.5,,
2024-01-06,Kurla,73.6,95.5,24.6,38.1,73.6,,
2024-01-06,Powai,51.5,77.0,10.6,36.0,54.1,,
2024-01-07,Bandra,100.5,116.9,26.5,32.1,100.5,,
2024-01-07,Colaba,49.2,71.4,26.6,28.3,53.1,,
2024-01-07,Kurla,60.1,69.3,26.3,66.6,99.8,,
2024-01-07,Powai,32.4,58.0,22.9,39.2,58.7,,
2024-01-08,Bandra,76.8,100.6,20.5,26.8,76.8,,
2024-01-08,Colaba,47.3,89.1,36.4,33.2,72.7,,
2024-01-08,Kurla,57.0,83.7,16.7,25.9,57.0,,
2024-01-08,Powai,79.4,109.3,20.2,21.3,79.4,,
2024-01-09,Bandra,95.0,138.8,14.7,48.3,95.0,,
2024-01-09,Colaba,51.0,56.7,12.3,49.1,73.7,,
2024-01-09,Kurla,92.3,119.1,35.6,23.1,92.3,,
2024-01-09,Powai,50.2,96.1,15.1,26.5,50.2,,
2024-01-10,Bandra,39.7,70.6,17.6,43.1,64.6,,
2024-01-10,Colaba,61.6,71.6,32.3,44.2,66.2,,
2024-01-10,Kurla,46.4,73.2,18.8,36.9,55.3,,
2024-01-10,Powai,45.8,71.9,21.7,52.3,78.4,,
2024-01-11,Bandra,66.7,99.9,28.8,21.6,66.7,,
2024-01-11,Colaba,36.2,69.3,30.1,45.0,67.4,,
2024-01-11,Kurla,49.7,82.1,24.5,53.5,80.3,,
2024-01-11,Powai,80.8,111.7,20.9,9.4,80.8,,
2024-01-12,Bandra,58.1,70.3,24.4,30.0,58.1,,
2024-01-12,Colaba,63.2,93.2,28.5,54.3,81.4,,
2024-01-12,Kurla,37.6,76.9,23.9,33.7,50.6,,
2024-01-12,Powai,80.5,108.6,20.4,36.6,80.5,,
2024-02-01,Bandra,36.1,70.5,34.6,32.7,69.1,,
2024-02-01,Colaba,55.3,83.0,37.6,49.2,75.3,,
2024-02-01,Kurla,42.2,81.8,32.0,57.7,86.5,,
2024-02-01,Powai,42.0,62.3,33.6,51.3,77.0,,
2024-02-02,Bandra,68.7,107.8,6.1,27.9,68.7,,
2024-02-02,Colaba,62.0,87.0,12.6,40.8,62.0,,
2024-02-02,Kurla,48.9,80.9,15.4,35.3,52.9,,
2024-02-02,Powai,50.2,91.0,29.0,64.9,97.4,,
2024-02-03,Bandra,57.3,77.6,33.9,38.6,67.7,,
2024-02-03,Colaba,36.0,62.6,21.2,32.2,48.2,,
2024-02-03,Kurla,33.7,71.4,17.0,31.0,46.5,,
2024-02-03,Powai,70.5,88.3,8.9,6.0,70.5,,
2024-02-04,Bandra,79.1,111.9,20.1,44.3,79.1,,
2024-02-04,Colaba,62.0,84.2,25.2,46.0,69.0,,
2024-02-04,Kurla,93.5,114.1,15.8,53.6,93.5,,
2024-02-04,Powai,34.6,71.3,30.4,44.6,66.9,,
2024-02-05,Bandra,41.9,65.3,20.2,56.5,84.7,,
2024-02-05,Colaba,93.7,132.6,24.9,57.8,93.7,,
2024-02-05,Kurla,76.8,108.9,14.7,33.6,76.8,,
2024-02-05,Powai,79.9,123.6,18.2,45.7,79.9,,
2024-02-06,Bandra,72.3,114.4,23.9,34.6,72.3,,
2024-02-06,Colaba,65.6,84.3,44.6,41.6,89.1,,
2024-02-06,Kurla,66.6,111.1,32.0,27.1,66.6,,
2024-02-06,Powai,74.7,91.9,33.4,45.9,74.7,,
2024-02-07,Bandra,68.5,98.7,19.9,45.9,68.8,,
2024-02-07,Colaba,68.2,81.1,33.2,45.7,68.5,,
2024-02-07,Kurla,52.8,75.5,28.0,43.7,65.6,,
2024-02-07,Powai,73.8,96.9,22.8,39.8,73.8,,
2024-02-08,Bandra,68.8,106.6,28.7,60.1,90.1,,
2024-02-08,Colaba,43.4,78.1,20.6,47.6,71.4,,
2024-02-08,Kurla,69.3,93.8,27.5,29.4,69.3,,
2024-02-08,Powai,76.4,110.6,17.3,33.5,76.4,,
2024-02-09,Bandra,49.9,82.6,27.4,37.2,55.8,,
2024-02-09,Colaba,75.7,110.0,17.3,39.4,75.7,,
2024-02-09,Kurla,71.7,94.4,13.7,42.6,71.7,,
2024-02-09,Powai,38.1,67.4,28.5,48.9,73.3,,
2024-02-10,Bandra,42.1,68.0,17.0,47.8,71.7,,
2024-02-10,Colaba,80.0,81.0,41.7,38.3,83.4,,
2024-02-10,Kurla,92.0,130.0,31.9,23.0,92.0,,
2024-02-10,Powai,52.4,103.3,28.4,24.7,56.9,,
2024-02-11,Bandra,75.1,111.3,16.9,37.1,75.1,,
2024-02-11,Colaba,56.3,85.0,25.4,38.2,57.4,,
